kl_divergence,mean_ratio_initial_iter,median_ratio_initial_iter,pairwise_hd_aver,mean_hd_from_CreiLOV,fitness_advantage,rel_WT_fitness,total_reward,ppo_loss_initial_iter,batch_size,mean_ratio_final_iter,median_ratio_final_iter,ppo_loss_final_iter,epoch,step,max_norm
0.0,1.0,1.0,12.689655303955078,8.275861740112305,1.0097273588180542,1.0097273588180542,1140.8177490234375,-1140.8175048828125,29.0,1641.27880859375,1.0000085830688477,-1134.4322509765625,0,0,
,,,,,,,,,,,,,0,0,1.1389343738555908
33.65875244140625,1711.5465087890625,1.000146508216858,9.901477813720703,7.068965435028076,1.0022236108779907,1.0022236108779907,890.3709716796875,-916.0055541992188,38.0,5704.6025390625,1.0001206398010254,-892.7243041992188,1,1,
,,,,,,,,,,,,,1,1,1.028525948524475
42.92757797241211,6401.2900390625,1.0003832578659058,6.812808036804199,5.482758522033691,1.0075241327285767,1.0075241327285767,612.9463500976562,-632.3275146484375,47.0,32964.53125,1.0003424882888794,-620.1256103515625,2,2,
,,,,,,,,,,,,,2,2,1.0722215175628662
60.79277420043945,35781.5625,1.0006352663040161,4.977832317352295,5.137930870056152,1.0122383832931519,1.0122383832931519,448.1302185058594,-464.6560363769531,56.0,114969.0,1.0012791156768799,-463.7275085449219,3,3,
,,,,,,,,,,,,,3,3,1.1547000408172607
67.9405746459961,121299.4375,1.001431941986084,4.482758522033691,4.068965435028076,1.0107060670852661,1.0107060670852661,403.6602478027344,-419.3304138183594,64.0,226599.0625,1.0014077425003052,-417.2886047363281,4,4,
,,,,,,,,,,,,,4,4,1.134088158607483
78.22784423828125,235538.34375,1.0016045570373535,3.9950737953186035,4.275862216949463,1.0122605562210083,1.0122605562210083,359.8570861816406,-374.61627197265625,64.0,434507.84375,1.001644492149353,-371.3258056640625,5,5,
,,,,,,,,,,,,,5,5,1.0846048593521118
91.09825897216797,443684.15625,1.0018969774246216,3.642857074737549,3.5862069129943848,1.0122605562210083,1.0122605562210083,328.2203369140625,-342.0483703613281,64.0,589996.8125,1.0020098686218262,-341.5586853027344,6,6,
,,,,,,,,,,,,,6,6,1.1425492763519287
100.74156188964844,604110.875,1.0020437240600586,3.2709360122680664,3.310344934463501,1.0122605562210083,1.0122605562210083,294.8136901855469,-307.7301940917969,64.0,824213.875,1.0017768144607544,-306.3243713378906,7,7,
,,,,,,,,,,,,,7,7,0.8773770332336426
107.84033203125,830531.3125,1.0019537210464478,3.701970338821411,3.7586207389831543,1.0107060670852661,1.0107060670852661,333.5284423828125,-347.5470886230469,64.0,843985.1875,1.002129316329956,-346.5751647949219,8,8,
,,,,,,,,,,,,,8,8,0.839709997177124
107.49944305419922,846080.4375,1.0022783279418945,2.8817734718322754,3.4482758045196533,1.0122605562210083,1.0122605562210083,259.8584289550781,-271.5700988769531,64.0,889721.6875,1.0021631717681885,-270.4716796875,9,9,
,,,,,,,,,,,,,9,9,0.8214253187179565
109.32218170166016,892708.5,1.0022456645965576,2.5911331176757812,3.5517241954803467,1.0122605562210083,1.0122605562210083,233.75254821777344,-243.9481658935547,64.0,979759.875,1.002177357673645,-242.2643280029297,10,10,
,,,,,,,,,,,,,10,10,0.8509683609008789
116.8014907836914,985782.1875,1.0024160146713257,1.866995096206665,3.8620688915252686,1.008728265762329,1.008728265762329,168.7056121826172,-176.4862060546875,64.0,1096824.0,1.002250075340271,-176.3074951171875,11,11,
,,,,,,,,,,,,,11,11,1.021615743637085
112.1372299194336,1102095.0,1.0022602081298828,2.665024518966675,3.655172348022461,1.0122605562210083,1.0122605562210083,240.38961791992188,-251.10040283203125,64.0,1162517.5,1.0020995140075684,-249.73130798339844,12,12,
,,,,,,,,,,,,,12,12,1.099556803703308
114.50018310546875,1164624.5,1.0022729635238647,2.1822659969329834,3.068965435028076,1.0209221839904785,1.0209221839904785,197.0360107421875,-205.98336791992188,64.0,1155154.375,1.0022488832473755,-205.48399353027344,13,13,
,,,,,,,,,,,,,13,13,1.0183724164962769
117.18109893798828,2166109.75,1.002333164215088,1.9901478290557861,2.620689630508423,1.0122605562210083,1.0122605562210083,179.77096557617188,-187.79771423339844,64.0,1370086.5,1.002158761024475,-186.1351776123047,14,14,
,,,,,,,,,,,,,14,14,0.9874688982963562
115.35609436035156,1167688.625,1.0023454427719116,2.1280786991119385,2.275861978530884,1.019465446472168,1.019465446472168,192.1673583984375,-200.86058044433594,64.0,1208977.125,1.002158761024475,-199.3589324951172,15,15,
,,,,,,,,,,,,,15,15,1.0040740966796875
114.8942642211914,1210732.875,1.0023280382156372,2.2512314319610596,2.4137930870056152,1.0167217254638672,1.0167217254638672,203.22642517089844,-212.41416931152344,64.0,1217762.125,1.0022470951080322,-211.0248260498047,16,16,
,,,,,,,,,,,,,16,16,0.9645484089851379
112.44970703125,1216615.5,1.0023690462112427,2.2807881832122803,2.2413792610168457,1.025596261024475,1.025596261024475,205.89012145996094,-215.2186737060547,64.0,1154422.25,1.0023101568222046,-214.48995971679688,17,17,
,,,,,,,,,,,,,17,17,0.8604788184165955
116.58502960205078,1151134.25,1.0024160146713257,2.0295567512512207,1.9310344457626343,1.025596261024475,1.025596261024475,183.32406616210938,-191.77789306640625,64.0,1085860.0,1.0022470951080322,-191.12200927734375,18,18,
,,,,,,,,,,,,,18,18,1.084023118019104
114.42024230957031,1084345.5,1.002324104309082,2.0738916397094727,2.2068965435028076,1.0167217254638672,1.0167217254638672,187.2974395751953,-195.61265563964844,64.0,1072597.25,1.0021878480911255,-194.92662048339844,19,19,
,,,,,,,,,,,,,19,19,1.0017389059066772
114.18366241455078,1071629.375,1.0023272037506104,2.1527092456817627,2.2068965435028076,1.025596261024475,1.025596261024475,194.38584899902344,-203.05516052246094,64.0,1056962.75,1.0023047924041748,-202.99099731445312,20,20,
,,,,,,,,,,,,,20,20,1.131751298904419
113.77042388916016,1056307.375,1.002386212348938,2.2044334411621094,2.344827651977539,1.0167217254638672,1.0167217254638672,199.02293395996094,-208.09158325195312,64.0,1024687.5,1.0022408962249756,-207.40782165527344,21,21,
,,,,,,,,,,,,,21,21,1.1354410648345947
114.24893951416016,1022194.5,1.0023088455200195,2.3694581985473633,2.5862069129943848,1.0197782516479492,1.0197782516479492,213.84881591796875,-223.28372192382812,64.0,963843.9375,1.0023248195648193,-223.5343780517578,22,22,
,,,,,,,,,,,,,22,22,1.0504213571548462
114.31022644042969,960303.5,1.00238037109375,2.221674919128418,2.344827651977539,1.0167217254638672,1.0167217254638672,200.57159423828125,-209.78297424316406,64.0,918096.5625,1.0024840831756592,-209.88014221191406,23,23,
,,,,,,,,,,,,,23,23,1.1301740407943726
114.5692367553711,916105.1875,1.0024839639663696,2.3916256427764893,2.4137930870056152,1.025596261024475,1.025596261024475,215.8457489013672,-225.90118408203125,64.0,886073.5625,1.0022666454315186,-225.13662719726562,24,24,
,,,,,,,,,,,,,24,24,1.0060347318649292
114.85044860839844,884844.3125,1.0023571252822876,2.0,2.1034483909606934,1.0167217254638672,1.0167217254638672,180.6603546142578,-188.7713165283203,64.0,870361.5625,1.002489686012268,-188.967041015625,25,25,
,,,,,,,,,,,,,25,25,1.0801857709884644
114.57632446289062,869663.875,1.0025107860565186,2.320197105407715,2.379310369491577,1.025596261024475,1.025596261024475,209.42990112304688,-219.12680053710938,64.0,860217.6875,1.0023865699768066,-218.61837768554688,26,26,
,,,,,,,,,,,,,26,26,1.0801305770874023
